RUN	pokemonapi.PokemonApiTest	pokemonapitest	1720479811869	 	3.11.3
REQUEST		Get Pikachu	1720479815806	1720479815949	OK	 
USER	Pokemon API Test	END	1720479815953
USER	Pokemon API Test	START	1720479815953
REQUEST		Get Pikachu	1720479815806	1720479815952	OK	 
USER	Pokemon API Test	END	1720479815956
USER	Pokemon API Test	START	1720479815956
REQUEST		Get Pikachu	1720479815832	1720479815965	OK	 
USER	Pokemon API Test	END	1720479815971
USER	Pokemon API Test	START	1720479815971
REQUEST		Get Pikachu	1720479815832	1720479815985	OK	 
USER	Pokemon API Test	END	1720479815991
USER	Pokemon API Test	START	1720479815991
REQUEST		Get Pikachu	1720479815899	1720479816021	OK	 
USER	Pokemon API Test	END	1720479816024
USER	Pokemon API Test	START	1720479816025
REQUEST		Get Pikachu	1720479815940	1720479816028	OK	 
USER	Pokemon API Test	END	1720479816029
USER	Pokemon API Test	START	1720479816029
REQUEST		Get Pikachu	1720479815881	1720479816033	OK	 
USER	Pokemon API Test	END	1720479816036
USER	Pokemon API Test	START	1720479816036
REQUEST		Get Pikachu	1720479815902	1720479816047	OK	 
USER	Pokemon API Test	END	1720479816051
USER	Pokemon API Test	START	1720479816052
REQUEST		Get Pikachu	1720479815893	1720479816055	OK	 
USER	Pokemon API Test	END	1720479816059
USER	Pokemon API Test	START	1720479816059
REQUEST		Get Pikachu	1720479815992	1720479816068	OK	 
USER	Pokemon API Test	END	1720479816069
USER	Pokemon API Test	START	1720479816070
REQUEST		Get Pikachu	1720479815951	1720479816106	OK	 
USER	Pokemon API Test	END	1720479816111
REQUEST		Get Pikachu	1720479815971	1720479816109	OK	 
USER	Pokemon API Test	END	1720479816117
USER	Pokemon API Test	START	1720479816117
USER	Pokemon API Test	START	1720479816118
REQUEST		Get Pikachu	1720479815954	1720479816132	OK	 
USER	Pokemon API Test	END	1720479816136
USER	Pokemon API Test	START	1720479816136
REQUEST		Get Pikachu	1720479816060	1720479816146	OK	 
USER	Pokemon API Test	END	1720479816147
USER	Pokemon API Test	START	1720479816148
REQUEST		Get Pikachu	1720479816025	1720479816169	OK	 
USER	Pokemon API Test	END	1720479816174
USER	Pokemon API Test	START	1720479816174
REQUEST		Get Pikachu	1720479816052	1720479816183	OK	 
USER	Pokemon API Test	END	1720479816186
USER	Pokemon API Test	START	1720479816187
REQUEST		Get Pikachu	1720479816029	1720479816192	OK	 
USER	Pokemon API Test	END	1720479816196
USER	Pokemon API Test	START	1720479816196
REQUEST		Get Pikachu	1720479816036	1720479816194	OK	 
USER	Pokemon API Test	END	1720479816198
USER	Pokemon API Test	START	1720479816198
REQUEST		Get Pikachu	1720479816148	1720479816227	OK	 
USER	Pokemon API Test	END	1720479816228
USER	Pokemon API Test	START	1720479816228
REQUEST		Get Pikachu	1720479816070	1720479816225	OK	 
USER	Pokemon API Test	END	1720479816230
USER	Pokemon API Test	START	1720479816230
REQUEST		Get Pikachu	1720479816118	1720479816268	OK	 
USER	Pokemon API Test	END	1720479816272
USER	Pokemon API Test	START	1720479816272
REQUEST		Get Pikachu	1720479816118	1720479816282	OK	 
USER	Pokemon API Test	END	1720479816285
USER	Pokemon API Test	START	1720479816286
REQUEST		Get Pikachu	1720479816136	1720479816286	OK	 
USER	Pokemon API Test	END	1720479816289
USER	Pokemon API Test	START	1720479816289
REQUEST		Get Pikachu	1720479816228	1720479816318	OK	 
USER	Pokemon API Test	END	1720479816320
USER	Pokemon API Test	START	1720479816320
REQUEST		Get Pikachu	1720479816187	1720479816326	OK	 
USER	Pokemon API Test	END	1720479816332
USER	Pokemon API Test	START	1720479816332
REQUEST		Get Pikachu	1720479816174	1720479816334	OK	 
USER	Pokemon API Test	END	1720479816338
USER	Pokemon API Test	START	1720479816338
REQUEST		Get Pikachu	1720479816196	1720479816346	OK	 
USER	Pokemon API Test	END	1720479816366
USER	Pokemon API Test	START	1720479816367
REQUEST		Get Pikachu	1720479816198	1720479816375	OK	 
USER	Pokemon API Test	END	1720479816380
USER	Pokemon API Test	START	1720479816380
REQUEST		Get Pikachu	1720479816230	1720479816390	OK	 
USER	Pokemon API Test	END	1720479816393
USER	Pokemon API Test	START	1720479816393
REQUEST		Get Pikachu	1720479815957	1720479816401	OK	 
USER	Pokemon API Test	END	1720479816407
USER	Pokemon API Test	START	1720479816407
REQUEST		Get Pikachu	1720479816320	1720479816412	OK	 
USER	Pokemon API Test	END	1720479816413
USER	Pokemon API Test	START	1720479816413
REQUEST		Get Pikachu	1720479816290	1720479816430	OK	 
REQUEST		Get Pikachu	1720479816286	1720479816431	OK	 
USER	Pokemon API Test	END	1720479816435
USER	Pokemon API Test	START	1720479816435
USER	Pokemon API Test	END	1720479816435
USER	Pokemon API Test	START	1720479816436
REQUEST		Get Pikachu	1720479816273	1720479816438	OK	 
USER	Pokemon API Test	END	1720479816441
USER	Pokemon API Test	START	1720479816441
REQUEST		Get Pikachu	1720479816332	1720479816486	OK	 
USER	Pokemon API Test	END	1720479816488
USER	Pokemon API Test	START	1720479816489
REQUEST		Get Pikachu	1720479816394	1720479816492	OK	 
USER	Pokemon API Test	END	1720479816493
USER	Pokemon API Test	START	1720479816493
REQUEST		Get Pikachu	1720479816339	1720479816507	OK	 
USER	Pokemon API Test	END	1720479816510
USER	Pokemon API Test	START	1720479816510
REQUEST		Get Pikachu	1720479816368	1720479816513	OK	 
USER	Pokemon API Test	END	1720479816520
USER	Pokemon API Test	START	1720479816521
REQUEST		Get Pikachu	1720479816441	1720479816527	OK	 
USER	Pokemon API Test	END	1720479816528
USER	Pokemon API Test	START	1720479816529
REQUEST		Get Pikachu	1720479816380	1720479816549	OK	 
USER	Pokemon API Test	END	1720479816553
USER	Pokemon API Test	START	1720479816553
REQUEST		Get Pikachu	1720479816413	1720479816556	OK	 
USER	Pokemon API Test	END	1720479816558
USER	Pokemon API Test	START	1720479816559
REQUEST		Get Pikachu	1720479816407	1720479816573	OK	 
USER	Pokemon API Test	END	1720479816577
USER	Pokemon API Test	START	1720479816578
REQUEST		Get Pikachu	1720479816436	1720479816577	OK	 
USER	Pokemon API Test	END	1720479816581
USER	Pokemon API Test	START	1720479816581
REQUEST		Get Pikachu	1720479816436	1720479816602	OK	 
USER	Pokemon API Test	END	1720479816607
USER	Pokemon API Test	START	1720479816607
REQUEST		Get Pikachu	1720479816529	1720479816611	OK	 
USER	Pokemon API Test	END	1720479816619
USER	Pokemon API Test	START	1720479816619
REQUEST		Get Pikachu	1720479816511	1720479816646	OK	 
USER	Pokemon API Test	END	1720479816651
USER	Pokemon API Test	START	1720479816652
REQUEST		Get Pikachu	1720479816493	1720479816653	OK	 
USER	Pokemon API Test	END	1720479816656
USER	Pokemon API Test	START	1720479816656
REQUEST		Get Pikachu	1720479816489	1720479816665	OK	 
USER	Pokemon API Test	END	1720479816669
USER	Pokemon API Test	START	1720479816669
REQUEST		Get Pikachu	1720479816521	1720479816680	OK	 
USER	Pokemon API Test	END	1720479816682
USER	Pokemon API Test	START	1720479816682
REQUEST		Get Pikachu	1720479816608	1720479816684	OK	 
USER	Pokemon API Test	END	1720479816685
USER	Pokemon API Test	START	1720479816686
REQUEST		Get Pikachu	1720479816559	1720479816704	OK	 
USER	Pokemon API Test	END	1720479816707
USER	Pokemon API Test	START	1720479816707
REQUEST		Get Pikachu	1720479816554	1720479816715	OK	 
REQUEST		Get Pikachu	1720479816582	1720479816719	OK	 
USER	Pokemon API Test	END	1720479816723
USER	Pokemon API Test	START	1720479816723
USER	Pokemon API Test	END	1720479816724
USER	Pokemon API Test	START	1720479816724
REQUEST		Get Pikachu	1720479816578	1720479816735	OK	 
USER	Pokemon API Test	END	1720479816738
USER	Pokemon API Test	START	1720479816738
REQUEST		Get Pikachu	1720479816683	1720479816772	OK	 
USER	Pokemon API Test	END	1720479816773
USER	Pokemon API Test	START	1720479816773
REQUEST		Get Pikachu	1720479816619	1720479816780	OK	 
USER	Pokemon API Test	END	1720479816784
USER	Pokemon API Test	START	1720479816784
REQUEST		Get Pikachu	1720479816656	1720479816803	OK	 
USER	Pokemon API Test	END	1720479816806
USER	Pokemon API Test	START	1720479816806
REQUEST		Get Pikachu	1720479816669	1720479816811	OK	 
USER	Pokemon API Test	END	1720479816816
USER	Pokemon API Test	START	1720479816816
REQUEST		Get Pikachu	1720479816652	1720479816813	OK	 
USER	Pokemon API Test	END	1720479816819
USER	Pokemon API Test	START	1720479816819
REQUEST		Get Pikachu	1720479816738	1720479816827	OK	 
USER	Pokemon API Test	END	1720479816827
USER	Pokemon API Test	START	1720479816828
REQUEST		Get Pikachu	1720479816686	1720479816829	OK	 
USER	Pokemon API Test	END	1720479816833
USER	Pokemon API Test	START	1720479816833
REQUEST		Get Pikachu	1720479816708	1720479816850	OK	 
USER	Pokemon API Test	END	1720479816854
USER	Pokemon API Test	START	1720479816854
REQUEST		Get Pikachu	1720479816725	1720479816862	OK	 
USER	Pokemon API Test	END	1720479816867
USER	Pokemon API Test	START	1720479816868
REQUEST		Get Pikachu	1720479816723	1720479816883	OK	 
USER	Pokemon API Test	END	1720479816886
USER	Pokemon API Test	START	1720479816886
REQUEST		Get Pikachu	1720479816819	1720479816901	OK	 
USER	Pokemon API Test	END	1720479816902
USER	Pokemon API Test	START	1720479816902
REQUEST		Get Pikachu	1720479816774	1720479816937	OK	 
USER	Pokemon API Test	END	1720479816940
USER	Pokemon API Test	START	1720479816940
REQUEST		Get Pikachu	1720479816784	1720479816953	OK	 
USER	Pokemon API Test	END	1720479816958
USER	Pokemon API Test	START	1720479816958
REQUEST		Get Pikachu	1720479816886	1720479816965	OK	 
USER	Pokemon API Test	END	1720479816966
REQUEST		Get Pikachu	1720479816817	1720479816958	OK	 
USER	Pokemon API Test	END	1720479816967
USER	Pokemon API Test	START	1720479816967
USER	Pokemon API Test	START	1720479816968
REQUEST		Get Pikachu	1720479816806	1720479816966	OK	 
USER	Pokemon API Test	END	1720479816970
USER	Pokemon API Test	START	1720479816970
REQUEST		Get Pikachu	1720479816828	1720479816987	OK	 
USER	Pokemon API Test	END	1720479816991
USER	Pokemon API Test	START	1720479816991
REQUEST		Get Pikachu	1720479816833	1720479816999	OK	 
USER	Pokemon API Test	END	1720479817001
USER	Pokemon API Test	START	1720479817002
REQUEST		Get Pikachu	1720479816854	1720479817011	OK	 
USER	Pokemon API Test	END	1720479817016
USER	Pokemon API Test	START	1720479817018
REQUEST		Get Pikachu	1720479816868	1720479817023	OK	 
USER	Pokemon API Test	END	1720479817028
USER	Pokemon API Test	START	1720479817028
REQUEST		Get Pikachu	1720479816903	1720479817049	OK	 
USER	Pokemon API Test	END	1720479817054
USER	Pokemon API Test	START	1720479817054
REQUEST		Get Pikachu	1720479816968	1720479817060	OK	 
USER	Pokemon API Test	END	1720479817060
USER	Pokemon API Test	START	1720479817061
REQUEST		Get Pikachu	1720479816941	1720479817102	OK	 
USER	Pokemon API Test	END	1720479817105
USER	Pokemon API Test	START	1720479817105
REQUEST		Get Pikachu	1720479817028	1720479817105	OK	 
USER	Pokemon API Test	END	1720479817107
USER	Pokemon API Test	START	1720479817107
REQUEST		Get Pikachu	1720479816967	1720479817108	OK	 
USER	Pokemon API Test	END	1720479817112
USER	Pokemon API Test	START	1720479817112
REQUEST		Get Pikachu	1720479816958	1720479817126	OK	 
USER	Pokemon API Test	END	1720479817131
USER	Pokemon API Test	START	1720479817131
REQUEST		Get Pikachu	1720479816971	1720479817129	OK	 
USER	Pokemon API Test	END	1720479817133
USER	Pokemon API Test	START	1720479817133
REQUEST		Get Pikachu	1720479816991	1720479817148	OK	 
USER	Pokemon API Test	END	1720479817153
USER	Pokemon API Test	START	1720479817154
REQUEST		Get Pikachu	1720479817002	1720479817158	OK	 
USER	Pokemon API Test	END	1720479817162
USER	Pokemon API Test	START	1720479817172
REQUEST		Get Pikachu	1720479817018	1720479817163	OK	 
USER	Pokemon API Test	END	1720479817186
USER	Pokemon API Test	START	1720479817187
REQUEST		Get Pikachu	1720479817113	1720479817224	OK	 
REQUEST		Get Pikachu	1720479817061	1720479817220	OK	 
USER	Pokemon API Test	END	1720479817225
USER	Pokemon API Test	START	1720479817225
USER	Pokemon API Test	END	1720479817226
USER	Pokemon API Test	START	1720479817226
REQUEST		Get Pikachu	1720479817054	1720479817225	OK	 
USER	Pokemon API Test	END	1720479817229
USER	Pokemon API Test	START	1720479817229
REQUEST		Get Pikachu	1720479817108	1720479817260	OK	 
USER	Pokemon API Test	END	1720479817263
USER	Pokemon API Test	START	1720479817263
REQUEST		Get Pikachu	1720479817187	1720479817267	OK	 
USER	Pokemon API Test	END	1720479817268
USER	Pokemon API Test	START	1720479817268
REQUEST		Get Pikachu	1720479817105	1720479817267	OK	 
USER	Pokemon API Test	END	1720479817272
USER	Pokemon API Test	START	1720479817272
REQUEST		Get Pikachu	1720479817131	1720479817279	OK	 
USER	Pokemon API Test	END	1720479817282
USER	Pokemon API Test	START	1720479817282
REQUEST		Get Pikachu	1720479817133	1720479817297	OK	 
USER	Pokemon API Test	END	1720479817300
USER	Pokemon API Test	START	1720479817300
REQUEST		Get Pikachu	1720479817154	1720479817325	OK	 
USER	Pokemon API Test	END	1720479817330
USER	Pokemon API Test	START	1720479817330
REQUEST		Get Pikachu	1720479817173	1720479817339	OK	 
USER	Pokemon API Test	END	1720479817343
USER	Pokemon API Test	START	1720479817344
REQUEST		Get Pikachu	1720479817268	1720479817357	OK	 
USER	Pokemon API Test	END	1720479817358
USER	Pokemon API Test	START	1720479817359
REQUEST		Get Pikachu	1720479817225	1720479817360	OK	 
USER	Pokemon API Test	END	1720479817363
USER	Pokemon API Test	START	1720479817363
REQUEST		Get Pikachu	1720479817229	1720479817377	OK	 
USER	Pokemon API Test	END	1720479817382
USER	Pokemon API Test	START	1720479817382
REQUEST		Get Pikachu	1720479817226	1720479817384	OK	 
USER	Pokemon API Test	END	1720479817389
USER	Pokemon API Test	START	1720479817389
REQUEST		Get Pikachu	1720479817263	1720479817398	OK	 
USER	Pokemon API Test	END	1720479817402
USER	Pokemon API Test	START	1720479817402
REQUEST		Get Pikachu	1720479817272	1720479817412	OK	 
USER	Pokemon API Test	END	1720479817419
USER	Pokemon API Test	START	1720479817419
REQUEST		Get Pikachu	1720479817344	1720479817422	OK	 
USER	Pokemon API Test	END	1720479817424
USER	Pokemon API Test	START	1720479817424
REQUEST		Get Pikachu	1720479817300	1720479817446	OK	 
USER	Pokemon API Test	END	1720479817449
USER	Pokemon API Test	START	1720479817450
REQUEST		Get Pikachu	1720479817282	1720479817449	OK	 
USER	Pokemon API Test	END	1720479817453
USER	Pokemon API Test	START	1720479817453
REQUEST		Get Pikachu	1720479817402	1720479817476	OK	 
USER	Pokemon API Test	END	1720479817477
USER	Pokemon API Test	START	1720479817477
REQUEST		Get Pikachu	1720479817330	1720479817493	OK	 
USER	Pokemon API Test	END	1720479817497
USER	Pokemon API Test	START	1720479817497
REQUEST		Get Pikachu	1720479817359	1720479817502	OK	 
USER	Pokemon API Test	END	1720479817506
USER	Pokemon API Test	START	1720479817506
REQUEST		Get Pikachu	1720479817364	1720479817523	OK	 
USER	Pokemon API Test	END	1720479817528
USER	Pokemon API Test	START	1720479817528
REQUEST		Get Pikachu	1720479817383	1720479817526	OK	 
USER	Pokemon API Test	END	1720479817529
USER	Pokemon API Test	START	1720479817529
REQUEST		Get Pikachu	1720479817389	1720479817542	OK	 
USER	Pokemon API Test	END	1720479817545
USER	Pokemon API Test	START	1720479817545
REQUEST		Get Pikachu	1720479817477	1720479817558	OK	 
USER	Pokemon API Test	END	1720479817559
USER	Pokemon API Test	START	1720479817559
REQUEST		Get Pikachu	1720479817420	1720479817579	OK	 
USER	Pokemon API Test	END	1720479817582
USER	Pokemon API Test	START	1720479817582
REQUEST		Get Pikachu	1720479817424	1720479817584	OK	 
USER	Pokemon API Test	END	1720479817588
USER	Pokemon API Test	START	1720479817588
REQUEST		Get Pikachu	1720479817450	1720479817603	OK	 
USER	Pokemon API Test	END	1720479817608
USER	Pokemon API Test	START	1720479817608
REQUEST		Get Pikachu	1720479817454	1720479817616	OK	 
USER	Pokemon API Test	END	1720479817620
USER	Pokemon API Test	START	1720479817621
REQUEST		Get Pikachu	1720479817545	1720479817635	OK	 
USER	Pokemon API Test	END	1720479817636
USER	Pokemon API Test	START	1720479817636
REQUEST		Get Pikachu	1720479817506	1720479817664	OK	 
USER	Pokemon API Test	END	1720479817668
USER	Pokemon API Test	START	1720479817669
REQUEST		Get Pikachu	1720479817497	1720479817671	OK	 
USER	Pokemon API Test	END	1720479817675
USER	Pokemon API Test	START	1720479817675
REQUEST		Get Pikachu	1720479817529	1720479817673	OK	 
USER	Pokemon API Test	END	1720479817678
USER	Pokemon API Test	START	1720479817678
REQUEST		Get Pikachu	1720479817528	1720479817690	OK	 
USER	Pokemon API Test	END	1720479817693
USER	Pokemon API Test	START	1720479817694
REQUEST		Get Pikachu	1720479817621	1720479817703	OK	 
USER	Pokemon API Test	END	1720479817704
USER	Pokemon API Test	START	1720479817704
REQUEST		Get Pikachu	1720479817589	1720479817708	OK	 
USER	Pokemon API Test	END	1720479817716
USER	Pokemon API Test	START	1720479817716
REQUEST		Get Pikachu	1720479817582	1720479817725	OK	 
USER	Pokemon API Test	END	1720479817729
REQUEST		Get Pikachu	1720479817559	1720479817725	OK	 
USER	Pokemon API Test	START	1720479817729
USER	Pokemon API Test	END	1720479817730
USER	Pokemon API Test	START	1720479817730
REQUEST		Get Pikachu	1720479817608	1720479817769	OK	 
USER	Pokemon API Test	END	1720479817772
USER	Pokemon API Test	START	1720479817773
REQUEST		Get Pikachu	1720479817694	1720479817778	OK	 
USER	Pokemon API Test	END	1720479817779
USER	Pokemon API Test	START	1720479817779
REQUEST		Get Pikachu	1720479817636	1720479817795	OK	 
USER	Pokemon API Test	END	1720479817799
USER	Pokemon API Test	START	1720479817800
REQUEST		Get Pikachu	1720479817678	1720479817815	OK	 
USER	Pokemon API Test	END	1720479817820
USER	Pokemon API Test	START	1720479817820
REQUEST		Get Pikachu	1720479817669	1720479817817	OK	 
USER	Pokemon API Test	END	1720479817821
USER	Pokemon API Test	START	1720479817821
REQUEST		Get Pikachu	1720479817675	1720479817835	OK	 
USER	Pokemon API Test	END	1720479817837
USER	Pokemon API Test	START	1720479817837
REQUEST		Get Pikachu	1720479817705	1720479817846	OK	 
USER	Pokemon API Test	END	1720479817853
USER	Pokemon API Test	START	1720479817853
REQUEST		Get Pikachu	1720479817773	1720479817863	OK	 
USER	Pokemon API Test	END	1720479817863
USER	Pokemon API Test	START	1720479817863
REQUEST		Get Pikachu	1720479817730	1720479817867	OK	 
USER	Pokemon API Test	END	1720479817869
USER	Pokemon API Test	START	1720479817869
REQUEST		Get Pikachu	1720479817730	1720479817869	OK	 
USER	Pokemon API Test	END	1720479817874
USER	Pokemon API Test	START	1720479817874
REQUEST		Get Pikachu	1720479817716	1720479817873	OK	 
USER	Pokemon API Test	END	1720479817876
USER	Pokemon API Test	START	1720479817876
REQUEST		Get Pikachu	1720479817838	1720479817910	OK	 
USER	Pokemon API Test	END	1720479817911
USER	Pokemon API Test	START	1720479817911
REQUEST		Get Pikachu	1720479817780	1720479817929	OK	 
USER	Pokemon API Test	END	1720479817933
USER	Pokemon API Test	START	1720479817933
REQUEST		Get Pikachu	1720479817800	1720479817943	OK	 
USER	Pokemon API Test	END	1720479817946
USER	Pokemon API Test	START	1720479817946
REQUEST		Get Pikachu	1720479817877	1720479817961	OK	 
USER	Pokemon API Test	END	1720479817962
USER	Pokemon API Test	START	1720479817962
REQUEST		Get Pikachu	1720479817820	1720479817980	OK	 
USER	Pokemon API Test	END	1720479817983
USER	Pokemon API Test	START	1720479817983
REQUEST		Get Pikachu	1720479817822	1720479817989	OK	 
USER	Pokemon API Test	END	1720479817992
USER	Pokemon API Test	START	1720479817993
REQUEST		Get Pikachu	1720479817853	1720479817998	OK	 
USER	Pokemon API Test	END	1720479818001
USER	Pokemon API Test	START	1720479818001
REQUEST		Get Pikachu	1720479817874	1720479818013	OK	 
USER	Pokemon API Test	END	1720479818018
USER	Pokemon API Test	START	1720479818018
REQUEST		Get Pikachu	1720479817870	1720479818029	OK	 
REQUEST		Get Pikachu	1720479817864	1720479818025	OK	 
USER	Pokemon API Test	END	1720479818035
USER	Pokemon API Test	START	1720479818035
USER	Pokemon API Test	END	1720479818036
USER	Pokemon API Test	START	1720479818036
REQUEST		Get Pikachu	1720479817912	1720479818071	OK	 
USER	Pokemon API Test	END	1720479818075
USER	Pokemon API Test	START	1720479818075
REQUEST		Get Pikachu	1720479817983	1720479818078	OK	 
USER	Pokemon API Test	END	1720479818079
USER	Pokemon API Test	START	1720479818079
REQUEST		Get Pikachu	1720479817947	1720479818097	OK	 
USER	Pokemon API Test	END	1720479818101
USER	Pokemon API Test	START	1720479818101
REQUEST		Get Pikachu	1720479817933	1720479818107	OK	 
USER	Pokemon API Test	END	1720479818111
USER	Pokemon API Test	START	1720479818111
REQUEST		Get Pikachu	1720479818036	1720479818123	OK	 
USER	Pokemon API Test	END	1720479818123
USER	Pokemon API Test	START	1720479818124
REQUEST		Get Pikachu	1720479817963	1720479818132	OK	 
USER	Pokemon API Test	END	1720479818136
USER	Pokemon API Test	START	1720479818136
REQUEST		Get Pikachu	1720479817993	1720479818133	OK	 
USER	Pokemon API Test	END	1720479818137
USER	Pokemon API Test	START	1720479818138
REQUEST		Get Pikachu	1720479818018	1720479818161	OK	 
USER	Pokemon API Test	END	1720479818165
USER	Pokemon API Test	START	1720479818165
REQUEST		Get Pikachu	1720479818002	1720479818164	OK	 
USER	Pokemon API Test	END	1720479818169
USER	Pokemon API Test	START	1720479818169
REQUEST		Get Pikachu	1720479818035	1720479818194	OK	 
USER	Pokemon API Test	END	1720479818197
USER	Pokemon API Test	START	1720479818197
REQUEST		Get Pikachu	1720479818124	1720479818204	OK	 
USER	Pokemon API Test	END	1720479818205
USER	Pokemon API Test	START	1720479818205
REQUEST		Get Pikachu	1720479818075	1720479818216	OK	 
USER	Pokemon API Test	END	1720479818218
USER	Pokemon API Test	START	1720479818218
REQUEST		Get Pikachu	1720479818079	1720479818239	OK	 
USER	Pokemon API Test	END	1720479818242
USER	Pokemon API Test	START	1720479818242
REQUEST		Get Pikachu	1720479818101	1720479818258	OK	 
USER	Pokemon API Test	END	1720479818261
USER	Pokemon API Test	START	1720479818261
REQUEST		Get Pikachu	1720479818136	1720479818272	OK	 
USER	Pokemon API Test	END	1720479818275
USER	Pokemon API Test	START	1720479818275
REQUEST		Get Pikachu	1720479818197	1720479818283	OK	 
USER	Pokemon API Test	END	1720479818284
USER	Pokemon API Test	START	1720479818284
REQUEST		Get Pikachu	1720479818138	1720479818291	OK	 
USER	Pokemon API Test	END	1720479818295
USER	Pokemon API Test	START	1720479818295
REQUEST		Get Pikachu	1720479818112	1720479818291	OK	 
USER	Pokemon API Test	END	1720479818296
USER	Pokemon API Test	START	1720479818296
REQUEST		Get Pikachu	1720479818166	1720479818309	OK	 
USER	Pokemon API Test	END	1720479818314
USER	Pokemon API Test	START	1720479818318
REQUEST		Get Pikachu	1720479818170	1720479818332	OK	 
USER	Pokemon API Test	END	1720479818335
USER	Pokemon API Test	START	1720479818335
REQUEST		Get Pikachu	1720479818219	1720479818357	OK	 
USER	Pokemon API Test	END	1720479818361
USER	Pokemon API Test	START	1720479818361
REQUEST		Get Pikachu	1720479818275	1720479818364	OK	 
USER	Pokemon API Test	END	1720479818364
USER	Pokemon API Test	START	1720479818365
REQUEST		Get Pikachu	1720479818205	1720479818366	OK	 
USER	Pokemon API Test	END	1720479818368
USER	Pokemon API Test	START	1720479818368
REQUEST		Get Pikachu	1720479818242	1720479818411	OK	 
USER	Pokemon API Test	END	1720479818416
USER	Pokemon API Test	START	1720479818416
REQUEST		Get Pikachu	1720479818335	1720479818424	OK	 
USER	Pokemon API Test	END	1720479818425
USER	Pokemon API Test	START	1720479818425
REQUEST		Get Pikachu	1720479818284	1720479818435	OK	 
USER	Pokemon API Test	END	1720479818438
USER	Pokemon API Test	START	1720479818438
REQUEST		Get Pikachu	1720479818261	1720479818434	OK	 
USER	Pokemon API Test	END	1720479818439
USER	Pokemon API Test	START	1720479818439
REQUEST		Get Pikachu	1720479818295	1720479818453	OK	 
USER	Pokemon API Test	END	1720479818456
USER	Pokemon API Test	START	1720479818456
REQUEST		Get Pikachu	1720479818297	1720479818456	OK	 
USER	Pokemon API Test	END	1720479818461
USER	Pokemon API Test	START	1720479818461
REQUEST		Get Pikachu	1720479818318	1720479818463	OK	 
USER	Pokemon API Test	END	1720479818466
USER	Pokemon API Test	START	1720479818466
REQUEST		Get Pikachu	1720479818425	1720479818515	OK	 
USER	Pokemon API Test	END	1720479818516
USER	Pokemon API Test	START	1720479818516
REQUEST		Get Pikachu	1720479818362	1720479818516	OK	 
USER	Pokemon API Test	END	1720479818520
USER	Pokemon API Test	START	1720479818520
REQUEST		Get Pikachu	1720479818368	1720479818517	OK	 
USER	Pokemon API Test	END	1720479818525
USER	Pokemon API Test	START	1720479818525
REQUEST		Get Pikachu	1720479818365	1720479818534	OK	 
USER	Pokemon API Test	END	1720479818538
USER	Pokemon API Test	START	1720479818538
REQUEST		Get Pikachu	1720479818466	1720479818550	OK	 
USER	Pokemon API Test	END	1720479818551
USER	Pokemon API Test	START	1720479818551
REQUEST		Get Pikachu	1720479818416	1720479818560	OK	 
USER	Pokemon API Test	END	1720479818564
USER	Pokemon API Test	START	1720479818564
REQUEST		Get Pikachu	1720479818439	1720479818587	OK	 
USER	Pokemon API Test	END	1720479818591
USER	Pokemon API Test	START	1720479818591
REQUEST		Get Pikachu	1720479818438	1720479818606	OK	 
USER	Pokemon API Test	END	1720479818611
USER	Pokemon API Test	START	1720479818611
REQUEST		Get Pikachu	1720479818456	1720479818613	OK	 
USER	Pokemon API Test	END	1720479818618
USER	Pokemon API Test	START	1720479818624
REQUEST		Get Pikachu	1720479818461	1720479818624	OK	 
USER	Pokemon API Test	END	1720479818629
USER	Pokemon API Test	START	1720479818629
REQUEST		Get Pikachu	1720479818552	1720479818645	OK	 
USER	Pokemon API Test	END	1720479818646
USER	Pokemon API Test	START	1720479818646
REQUEST		Get Pikachu	1720479818524	1720479818670	OK	 
USER	Pokemon API Test	END	1720479818673
USER	Pokemon API Test	START	1720479818673
REQUEST		Get Pikachu	1720479818516	1720479818681	OK	 
USER	Pokemon API Test	END	1720479818683
USER	Pokemon API Test	START	1720479818683
REQUEST		Get Pikachu	1720479818538	1720479818699	OK	 
USER	Pokemon API Test	END	1720479818703
REQUEST		Get Pikachu	1720479818564	1720479818700	OK	 
USER	Pokemon API Test	END	1720479818706
USER	Pokemon API Test	START	1720479818706
USER	Pokemon API Test	START	1720479818706
REQUEST		Get Pikachu	1720479818525	1720479818704	OK	 
USER	Pokemon API Test	END	1720479818708
USER	Pokemon API Test	START	1720479818709
REQUEST		Get Pikachu	1720479818629	1720479818721	OK	 
USER	Pokemon API Test	END	1720479818722
USER	Pokemon API Test	START	1720479818722
REQUEST		Get Pikachu	1720479818611	1720479818746	OK	 
USER	Pokemon API Test	END	1720479818750
USER	Pokemon API Test	START	1720479818750
REQUEST		Get Pikachu	1720479818591	1720479818756	OK	 
USER	Pokemon API Test	END	1720479818760
USER	Pokemon API Test	START	1720479818760
REQUEST		Get Pikachu	1720479818624	1720479818780	OK	 
USER	Pokemon API Test	END	1720479818783
USER	Pokemon API Test	START	1720479818783
REQUEST		Get Pikachu	1720479818707	1720479818784	OK	 
USER	Pokemon API Test	END	1720479818785
USER	Pokemon API Test	START	1720479818785
REQUEST		Get Pikachu	1720479818646	1720479818798	OK	 
USER	Pokemon API Test	END	1720479818803
USER	Pokemon API Test	START	1720479818803
REQUEST		Get Pikachu	1720479818684	1720479818821	OK	 
